IngredientID,IngredientCategoryID,IngredientName,SpeciesID,IngredientCutID,PlantID,PlantVarietyID
175,17,Sweet Annie,,,,
176,17,Sweet Cicely,,,,
177,17,Sweet Fern,,,,
178,17,Sweet Woodruff,,,,
179,17,Tagetes lucida (Mexican Tarragon),,,,
180,17,Tamanu Oil,,,,
181,17,Tansy,,,,
182,17,Tarragon,,,,
183,17,Teasel Root,,,,
184,17,Thyme,,,,
185,17,Thyme (Creeping),,,,
186,17,Tribulus Terrestris,,,,
189,17,Uva Ursi,,,,
190,17,Valerian,,,,
192,17,Vervain,,,,
194,17,Vitex (Chaste Tree),,,,
195,17,White Horehound,,,,
196,17,White Mulberry,,,,
198,17,White Willow,,,,
199,17,Wild Dagga,,,,
200,17,Wild Indigo,,,,
201,17,Wild Lettuce,,,2,512
203,17,Wintergreen,,,,
204,17,Witch Hazel,,,,
205,17,Wood Betony,,,,
206,17,Wood Sorrel,,,,
207,17,Wormwood,,,,
208,17,Wormwood (Artemisia absinthium),,,,
209,17,Yacon Root,,,,
210,17,Yarrow,,,,
211,17,Yellow Dock,,,,
212,17,Yerba Buena,,,,
213,17,Yohimbe,,,,
214,17,Yucca,,,,
215,17,Zedoary,,,,
216,17,Zigadenus (Death Camas),,,,
217,17,Ziziphus (Jujube),,,,
218,17,Zornia (Maconha Brava),,,,
219,3,Shrimp,,,,
220,3,Lobster,,,,
221,3,Crab,,,,
222,3,Scallop,,,,
223,3,Mussel,,,,
224,3,Clam,,,,
225,3,Abalone,,,,
226,3,Octopus,,,,
227,3,Crayfish,,,,
228,3,Prawn,,,,
229,3,Snail,,,,
230,3,Squid,,,,
231,3,Oyster,,,,
232,3,Whelk,,,,
233,3,Cuttlefish,,,,
234,3,Mantis Shrimp,,,,
235,3,Cockle,,,,
236,3,Horn Snail,,,,
237,3,Horse Conch,,,,
238,3,Quahog,,,,
239,3,Knobbed Whelk,,,,
240,3,Winkle,,,,
241,3,Sea Urchin,,,,
242,3,Geoduck,,,,
243,3,Limpet,,,,
244,3,Periwinkle,,,,
245,3,Razor Clam,,,,
246,3,Barnacles,,,,
247,3,Krill,,,,
248,3,Langoustine,,,,
249,3,Sand Flea,,,,
250,3,Soft-Shell Crab,,,,
251,4,Salmon,,,,
252,4,Tuna,,,,
253,4,Trout,,,,
254,4,Bass,,,,
255,4,Cod,,,,
256,4,Haddock,,,,
257,4,Hake,,,,
258,4,Halibut,,,,
259,4,Mackerel,,,,
260,4,Sardines,,,,
261,4,Anchovies,,,,
262,4,Catfish,,,,
263,4,Perch,,,,
264,4,Snapper,,,,
265,4,Grouper,,,,
266,4,Flounder,,,,
267,4,Sole,,,,
268,4,Mahi-Mahi,,,,
269,4,Tilapia,,,,
270,4,Carp,,,,
271,4,Barramundi,,,,
272,4,Pike,,,,
273,4,Whitefish,,,,
274,4,Arctic Char,,,,
275,4,Swordfish,,,,
276,4,Marlin,,,,
277,4,Shark,,,,
278,4,Sea Bass,,,,
279,4,Rockfish,,,,
280,4,Redfish,,,,
281,4,Pollock,,,,
282,4,Tilefish,,,,
283,4,Eel,,,,
284,4,Monkfish,,,,
285,4,Wahoo,,,,
286,4,Amberjack,,,,
287,4,Bluefish,,,,
288,4,Yellowtail,,,,
289,4,Mullet,,,,
290,4,Cobia,,,,
291,4,Sea Bream,,,,
292,4,Barracuda,,,,
293,4,Porgy,,,,
294,4,Triggerfish,,,,
295,4,Surgeonfish,,,,
296,4,Snook,,,,
297,4,Gulf Menhaden,,,,
298,4,Milkfish,,,,
299,4,Pompano,,,,
300,4,Black Drum,,,,
301,4,Croaker,,,,
302,4,Atlantic Croaker,,,,
303,4,Weakfish,,,,
304,4,Spanish Mackerel,,,,
305,4,King Mackerel,,,,
306,4,Corvina,,,,
307,4,Jackfish,,,,
308,4,Bonito,,,,
309,4,Yellowfin Grouper,,,,
310,7,Acorn Squash,,,,
311,7,Ahipa,,,,
312,7,Amaranth,,,,
313,7,American Groundnut,,,,
314,7,Aonori,,,,
315,7,Arame,,,,
316,7,Arracacha,,,,
317,7,Arrowroot,,,,
319,7,Arugula,,,2,527
320,7,Asparagus,,,,
321,7,Adzuki Bean,,,,
322,7,Bamboo Shoots,,,,
323,7,Banana Squash,,,,
324,7,Dark Red Beet (Most Common),,,19,1041
325,7,Belgian Endive,,,2,532
327,7,Black Eyed Pea,,,,
329,7,Black Salsify,,,,
330,7,Bok Choy,,,,
331,7,Broadleaf Arrowhead,,,,
332,7,Broccoflower,,,,
333,7,Calabrese Broccoli,,,4,575
334,7,Broccolini,,,4,580
336,7,Burdock Roots,,,,
337,7,Buttercup Squash,,,,
340,7,Cactus,,,,
341,7,Camas,,,,
342,7,Canna,,,,
343,7,Caper,,,,
344,7,Cardoon,,,,
345,7,Nantes (most common),,,3,547
347,7,Catsear,,,,
348,7,Cauliflower,,,,
349,7,Celeriac,,,,
350,7,Celery,,,,
351,7,Celtuce,,,2,515
352,7,Chaya,,,,
353,7,Chayote Squash,,,,
355,7,Chick Pea,,,,
356,7,Chickweed,,,,
357,7,Chicory,,,,
358,7,Chives,,,,
359,7,Chrysanthemum,,,,
360,7,Collard Greens,,,,
361,7,Common Beans,,,,
362,7,Crookneck Squash,,,,
363,7,Common Purslane,,,2,528
364,7,Courgette Flowers,,,,
365,7,Cress,,,,
366,7,Giant Cuccumber (Most Common),,,5,366
367,7,Dabberlocks,,,,
369,7,Dandelion,,,,
370,7,Delicata Squash,,,,
371,7,Daylily,,,,
373,7,Dolichos,,,,
374,7,Drumstick,,,,
375,7,Dulse,,,,
376,7,Earthnut Pea,,,,
380,7,Endive,,,2,517
381,7,Ensete,,,,
382,7,Fat Hen,,,,
383,7,Fava Bean,,,,
385,7,Fiddlehead Green,,,,
388,7,Galangal,,,,
389,7,Garbanzo,,,,
390,7,Garden Rocket,,,,
394,7,Golden Samphire,,,,
395,7,Good King Henry,,,,
396,7,Greater Plantain,,,,
397,7,Green Beans,,,,
399,7,Guar,,,,
400,13,Parsley Flowers,,,26,
401,7,Hijiki,,,,
402,7,Horse Gram,,,,
403,28,Horseradish,,,160,0
404,7,Indian Pea,,,,
405,7,Curly Kale (Most Common),,,7,658
407,7,Komatsuna,,,,
408,7,Kombu,,,,
409,7,Kurrat,,,,
410,7,Lagos Bologi,,,,
411,7,Land Cress,,,,
412,7,Laver,,,,
414,7,Lemongrass,,,,
415,19,Red Lentil,,,12,904
416,7,Little Gem,,,2,501
418,7,Lotus Root,,,,
419,7,Malabar Spinach,,,6,640
420,7,Mangetout,,,,
421,7,Manoa,,,,
422,7,Mashua,,,,
423,7,Mulukhiyah,,,,
424,7,Mizuna,,,2,524
426,7,Moth Bean,,,,
427,7,Mozuku,,,,
430,7,Mustard Greens,,,,
432,7,New Zealand Spinach,,,6,639
433,7,Nopal,,,,
434,7,Nori,,,,
435,7,Ogonori,,,,
438,7,Orache,,,6,652
439,7,Pak Choy,,,,
440,7,Paracress,,,,
442,7,Peas,,,,
444,7,Pigeon Pea,,,,
445,7,Pignut,,,,
447,7,Prussian Asparagus,,,,
448,7,Prairie Turnip,,,,
450,7,Radicchio,,,2,510
452,7,Ramp,,,,
453,7,Rapini,,,,
454,7,Red Leaf Lettuce,,,2,505
455,7,Ricebean,,,,
456,7,Runner Bean,,,,
457,7,Rutabaga,,,,
458,7,Savoy,,,6,634
459,7,Salsify,,,,
460,7,Samphire,,,,
461,7,Scorzonera,,,,
462,7,Sculpit,,,,
463,7,Sea Beet,,,,
465,7,Sea Kale,,,7,680
467,7,Shallot,,,,
468,7,Sierra Leone Bologi,,,,
469,7,Skirret,,,,
470,7,Snap Pea,,,,
471,7,Snow Pea,,,,
472,7,Soko,,,,
476,7,Flat Leaf Spinach (Most Common),,,6,656
478,7,Scallion,,,,
479,7,Squash Blossoms,,,,
480,7,Summer Squash,,,,
481,7,Swede,,,,
484,7,Tarwi,,,,
485,7,Tatsoi,,,,
486,7,Tepary Bean,,,,
487,7,Tigernut,,,,
488,7,Tomatillo,,,,
489,7,Tomato,,,,
492,7,Purple Top White Globe,,,20,1077
493,7,Urad Bean,,,,
494,7,Ulluco,,,,
495,7,Wasabi,,,148,
496,7,Water Chestnut,,,,
497,7,Water Caltrop,,,,
498,7,Water Spinach,,,6,657
499,7,Watercress,,,2,520
501,7,Wheatgrass,,,,
503,7,Winged Bean,,,,
504,7,Winter Squash,,,,
506,7,Yao Choy,,,,
507,7,Yardlong Bean,,,,
508,7,Yarrow,,,,
509,7,Yuca Root,,,,
512,8,ACAI berry,,,,
513,8,AGARITA berry,,,,
514,8,AMLA berry,,,,
515,8,BANEBERRY,,,,
516,8,BARBADOS berry,,,,
517,8,BARBERRY,,,,
518,8,BEARBERRY,,,,
519,8,BITTERSWEET,,,,
522,8,BLACK MULBERRY,,,,
523,8,BOYSENBERRY,,,,
524,8,BUFFALO berry,,,,
525,8,BUNCHBERRY,,,,
526,8,CAPERBERRY,,,,
527,8,CHOKEBERRY (ARONIA),,,,
529,8,CLOUDBERRY,,,,
530,8,COWBERRY,,,,
531,8,CRANBERRY,,,,
532,8,CURRANT,,,,
533,8,DEWBERRY,,,,
534,8,ELDERBERRY,,,,
535,8,FARKLEBERRY,,,,
537,8,GOJI BERRY,,,,
538,8,GOOSEBERRY,,,,
540,8,HACKBERRY,,,,
541,8,HOLLY BERRY,,,,
542,8,HUCKLEBERRY,,,,
544,8,IVY BERRY,,,,
545,8,JUNEBERRY,,,,
546,8,JUNIPER BERRY,,,,
547,8,LINGONBERRY,,,,
548,8,LOGANBERRY,,,,
549,8,MISTLETOE BERRY,,,,
550,8,Chantenay Red Core,,,3,550
551,12,Oregon Grape,,,65,
552,8,PERSIMMON,,,,
553,8,POKEBERRY,,,,
555,8,RED MULBERRY,,,,
556,8,SALMONBERRY,,,,
557,8,SEABERRY (SEA BUCKHORN),,,,
558,8,SNOWBERRY,,,,
560,8,SUGARBERRY,,,,
562,8,THIMBLEBERRY,,,,
563,8,WHITE MULBERRY,,,,
564,8,WINEBERRY,,,,
565,8,WINTERGREEN,,,,
566,8,YEW BERRY,,,,
567,8,YOUNGBERRY,,,,
568,11,Adzuki,,,,
569,11,Black,,,,
570,11,Black-Eyed Peas,,,,
571,11,Butter,,,,
572,11,Cannellini,,,,
573,19,Kabuli Chickpea (Most Common),,,13,911
574,11,Cranberry,,,,
575,11,Fava (Broad),,,,
576,11,Great Northern,,,,
578,19,Green Lentil,,,12,903
581,11,Navy,,,,
582,11,Pinto,,,,
583,11,Red Split Peas,,,,
585,11,Yellow Eye,,,,
586,11,Anasazi,,,,
587,11,Borlotti,,,,
588,11,Calypso,,,,
590,11,Dutch Brown,,,,
591,11,Flageolet,,,,
592,11,Jacobs Cattle,,,,
593,11,Mayocoba,,,,
594,11,Orca -Rocquencourt,,,,
595,11,Pink,,,,
596,11,Soldier,,,,
597,11,Tongues of Fire,,,,
598,12,Honeycrisp,,,12,684
599,12,Apricot,,,,
600,12,Avocado,,,,
601,12,Gros Michel,,,10,837
604,12,Boysenberry,,,,
607,12,Clementine,,,9,802
608,12,Coconut,,,,
609,12,Cranberry,,,,
610,12,Currant,,,,
611,12,Date,,,115,0
612,12,Dragon Fruit,,,,
613,12,Elderberry,,,,
616,12,Grapefruit,,,,
618,26,Honeydew Melon,,,32,2674
620,12,Kumquat,,,,
621,12,Lemon,,,,
622,12,Lime,,,,
623,12,Lychee,,,,
625,12,Nectarine,,,,
626,12,Navel Orange,,,12,796
631,12,Persimmon,,,,
636,12,Redcurrant,,,,
639,12,Tangerine,,,9,803
640,12,Ugli Fruit,,,9,834
642,13,Borage Flowers,,,,
643,13,Calendula (Pot Marigold),,,,
644,13,Chamomile,,,,
645,13,Chive Blossoms,,,,
646,13,Dandelion,,,,
647,13,Daylily,,,,
648,13,Hibiscus,,,,
649,13,Honeysuckle,,,,
650,13,Jasmine,,,,
652,13,Lilac,,,,
653,13,Nasturtium,,,145,
654,13,Pansy,,,,
655,13,Rose,,,,
656,13,Squash Blossoms,,,,
657,13,Sunflower,,,,
658,13,Violet,,,,
659,13,Dianthus (Carnation),,,,
660,13,Begonia,,,,
661,13,Fuchsia,,,,
662,13,Marigold,,,,
663,13,Chrysanthemum,,,,
664,13,Safflower,,,,
665,13,Snapdragon,,,,
666,13,Tulip,,,,
667,13,Hollyhock,,,,
668,13,Impatiens,,,,
669,13,Viola,,,,
670,13,Arugula Flowers,,,,
671,13,Basil Flowers,,,23,
672,13,Chamomile,,,,
673,13,Cilantro/Coriander Flowers,,,98,0
674,13,Dill Flowers,,,96,0
675,13,Fennel Flowers,,,116,0
676,13,Rosemary Flowers,,,,
677,13,Sage Flowers,,,97,
678,13,Thyme Flowers,,,,
679,14,Nori,,,,
680,14,Spirulina,,,,
681,14,Chlorella,,,,
682,14,Dulse,,,,
683,14,Kelp,,,,
684,14,Wakame,,,,
685,14,Arame,,,,
686,14,Hijiki,,,,
687,14,Agar-Agar,,,,
688,14,Irish Moss,,,,
689,14,Sea Lettuce,,,,
690,14,Sargassum,,,,
691,14,Nori,,,,
692,14,Spirulina,,,,
693,14,Chlorella,,,,
694,14,Dulse,,,,
695,14,Kelp,,,,
696,14,Wakame,,,,
697,14,Arame,,,,
698,14,Hijiki,,,,
699,14,Agar-Agar,,,,
700,14,Irish Moss,,,,
702,14,Sargassum,,,,
703,15,Baking Soda (Sodium Bicarbonate),,,,
704,15,Baking Powder,,,,
705,15,Yeast,,,,
706,15,Citric Acid,,,,
707,15,Vinegar (Acetic Acid),,,,
708,15,Lemon Juice (Citric Acid),,,,
709,15,Tartaric Acid,,,,
710,15,Lactic Acid,,,,
711,15,Malic Acid,,,,
712,15,Ascorbic Acid (Vitamin C),,,,
713,15,Calcium Chloride,,,,
714,15,Potassium Sorbate,,,,
715,15,Sodium Benzoate,,,,
716,15,Monosodium Glutamate (MSG),,,,
717,15,Soy Lecithin,,,84,0
718,15,Carrageenan,,,,
719,15,Xanthan Gum,,,,
720,15,Guar Gum,,,,
721,15,Gelatin,,,,
722,15,Pectin,,,,
723,15,Calcium Carbonate,,,,
724,15,Calcium Sulfate,,,,
725,15,Magnesium Sulfate,,,,
726,15,Sulfur Dioxide,,,,
727,15,Nitrites and Nitrates,,,,
728,15,Sodium Erythorbate,,,,
729,15,Sodium Citrate,,,,
730,15,Sodium Alginate,,,,
731,15,Calcium Alginate,,,,
732,15,Potassium Chloride,,,,
733,15,Cornstarch,,,,
734,15,Arrowroot,,,,
737,15,Maltodextrin,,,,
738,15,Lecithin,,,,
739,15,Polydextrose,,,,
740,15,BHA/BHT (Butylated Hydroxyanisole/Butylated Hydroxytoluene),,,,
741,15,Propylene Glycol,,,,
742,15,Polysorbate 80,,,,
743,15,Sorbic Acid,,,,
744,15,Sodium Acid Pyrophosphate,,,,
745,15,Sodium Bisulfite,,,,
746,15,Sodium Metabisulfite,,,,
747,15,Sodium Nitrite,,,,
748,15,Sodium Nitrate,,,,
749,15,Sodium Sulfite,,,,
750,15,Alum (Potassium Aluminum Sulfate),,,,
751,18,Granulated Sugar,,,112,0
752,18,Brown Sugar (light and dark),,,112,0
753,18,Powdered Sugar (Confectioners),,,112,0
754,18,Caster Sugar (Superfine),,,,
755,18,Turbinado Sugar (Raw),,,,
756,18,Demerara Sugar,,,,
757,18,Muscovado Sugar,,,,
758,18,Coconut Sugar,,,121,
759,18,Maple Syrup,,,,
760,12,Date Palm Sugar,,,115,0
761,18,Agave Nectar,,,114,0
762,18,Honey,,,,
763,18,Molasses,,,,
764,23,Barley Malt Syrup,,,37,
765,18,Corn Syrup,,,18,
766,18,Rice Syrup,,,17,
767,18,High-Fructose Corn Syrup (HFCS),,,18,
768,18,Golden Syrup,,,,
769,18,Treacle,,,,
770,16,Kosher Salt,,,,
771,16,Sea Salt,,,,
772,16,Himalayan Pink Salt,,,,
773,16,Fleur de Sel,,,,
774,16,Sel Gris (Gray Salt),,,,
775,16,Celtic Sea Salt,,,,
776,16,Smoked Salt,,,,
777,16,Black Salt (Kala Namak),,,,
778,16,Red Hawaiian Salt,,,,
779,16,Flake Salt,,,,
780,16,Cyprus Flake Salt,,,,
781,16,Maldon Salt,,,,
782,16,Truffle Salt,,,,
783,16,Garlic Salt,,,163,
784,16,Onion Salt,,,161,
785,16,Smoked Paprika Salt,,,,
786,16,Lemon Salt,,,,
787,16,Herb-Infused Salt,,,,
788,16,Low-Sodium Salt,,,,
789,16,Kosher Salt,,,,
790,16,Sea Salt,,,,
791,16,Himalayan Pink Salt,,,,
792,16,Fleur de Sel,,,,
793,16,Sel Gris (Gray Salt),,,,
794,16,Celtic Sea Salt,,,,
795,16,Smoked Salt,,,,
796,16,Black Salt (Kala Namak),,,,
797,16,Red Hawaiian Salt,,,,
798,16,Flake Salt,,,,
799,16,Cyprus Flake Salt,,,,
800,16,Maldon Salt,,,,
801,16,Truffle Salt,,,,
804,16,Smoked Paprika Salt,,,,
805,16,Lemon Salt,,,,
806,16,Herb-Infused Salt,,,,
807,16,Low-Sodium Salt,,,,
808,1,Agnolotti,,,,
809,1,Anelli,,,,
810,1,Bucatini,,,,
811,1,Calamarata,,,,
812,1,Cannelloni,,,,
813,1,Casarecce,,,,
814,1,Cappelletti,,,,
815,1,Cavatappi,,,,
816,1,Cencioni,,,,
817,1,Conchiglie (Shells),,,,
818,1,Corzetti,,,,
819,1,Creste di Gallo,,,,
820,1,Ditali,,,,
821,1,Farfalline,,,,
822,1,Fiori,,,,
823,1,Garganelli,,,,
824,1,Gemelli,,,,
825,1,Lumache,,,,
826,1,Mafalda,,,,
827,1,Malloreddus,,,,
828,1,Mezze Penne,,,,
829,1,Occhi di Lupo,,,,
830,1,Orecchiette,,,,
831,1,Paccheri,,,,
832,1,Pansotti,,,,
833,1,Papardelle,,,,
834,1,Pici,,,,
835,1,Radiatori,,,,
836,1,Reginette,,,,
837,1,Riccioli,,,,
838,1,Ricotta Cavatelli,,,,
839,1,Rotelle,,,,
840,1,Rotini,,,,
841,1,Sacchettoni,,,,
842,1,Sagnarelli,,,,
843,1,Strozzapreti,,,,
845,1,Trofie,,,,
846,1,Trenette,,,,
847,1,Tripoline,,,,
848,1,Ziti,,,,
849,1,Orzo,,,,
850,1,Stelline,,,,
851,1,Pappardelle,,,,
852,1,Lasagnette,,,,
853,1,Fusilli Bucati,,,,
854,1,Fusilli Lunghi,,,,
855,1,Fusilli Col Buco,,,,
856,1,Fusilloni,,,,
857,1,Fagottini,,,,
858,1,Fusilli Rigati,,,,
859,1,Fettuccelle,,,,
860,1,Farfalle,,,,
861,1,Fettuccine Alfredo,,,,
862,1,Fregula,,,,
863,1,Gigli,,,,
864,1,Gnocchetti Sardi,,,,
865,1,Gnudi,,,,
866,1,Gramigne,,,,
867,1,Lagane,,,,
868,1,Lasagna,,,,
869,1,Maccheroni,,,,
870,1,Maltagliati,,,,
871,1,Maltagliati Toscani,,,,
872,1,Marille,,,,
873,1,Mafaldine,,,,
874,1,Manicotti,,,,
875,1,Marubini,,,,
876,1,Matriciani,,,,
877,1,Mezze Maniche,,,,
878,1,Mezzelune,,,,
879,1,Midolline,,,,
880,1,Mista Corta,,,,
881,1,Mista Lunga,,,,
882,1,Mista Media,,,,
883,1,Mista Zita,,,,
884,1,Molette,,,,
885,1,Occhi di Perdrix,,,,
886,1,Ondine,,,,
887,1,Paglia e Fieno,,,,
888,1,Passatelli,,,,
889,1,Penne,,,,
890,1,Penne Lisce,,,,
891,1,Penne Mezzani,,,,
892,1,Penne Rigate,,,,
893,1,Perciatelli,,,,
894,1,Pincinelle,,,,
895,1,Pipe Rigate,,,,
896,1,Pipe Zita,,,,
897,1,Pipette,,,,
898,1,Pipette Rigate,,,,
899,1,Pizziccheri,,,,
900,1,Quadrefiore,,,,
901,1,Quadretti,,,,
902,1,Radiatori Rigati,,,,
903,1,Radiatori Tostati,,,,
904,1,Radiatore Regine,,,,
905,1,Ramen,,,,
906,1,Reginelle,,,,
907,1,Reginette Ricciutelle,,,,
908,1,Ricciutelli,,,,
909,1,Rigatelli,,,,
910,1,Rigatoncini,,,,
911,1,Rigatoni,,,,
912,1,Risone,,,,
913,1,Risoni Risotto,,,,
914,1,Rotini Col Buco,,,,
915,1,Rotini Rigati,,,,
916,1,Rotini Ruffles,,,,
917,1,Rotini Spirals,,,,
918,1,Rotini Trio,,,,
919,1,Rotini Twist,,,,
920,1,Ruote,,,,
921,1,Ruote Bucate,,,,
922,1,Ruotine,,,,
923,1,Sacchettini,,,,
924,1,Sagnette,,,,
925,1,Scialatielli,,,,
926,1,Scialatielli Piccoli,,,,
927,1,Sedanini,,,,
928,1,Sedani,,,,
929,1,Sedani Rigati,,,,
930,1,Seme di Melone,,,,
931,1,Semolina,,,,
932,1,Shells,,,,
933,1,Shells (Conchiglie),,,,
934,1,Sorprese,,,,
935,1,Sorprese Bucate,,,,
936,1,Sorprese Rigate,,,,
937,1,Sorprese Tricolori,,,,
938,1,Sorpresine,,,,
939,1,Sorpresine Rigate,,,,
940,1,Spaccatelle,,,,
941,1,Spaghetti,,,,
942,1,Spaghetti Rigati,,,,
943,1,Spaghetti Spoon,,,,
944,1,Spaghettini,,,,
945,1,Spaghettoni,,,,
946,1,Spirali,,,,
947,1,Spirali Tricolore,,,,
948,1,Spirali Rigati,,,,
949,1,Spirale,,,,
950,1,Stelline,,,,
951,5,All-Purpose Flour,,,,
952,5,Almond Flour,,,14,
953,5,Amaranth Flour,,,,
954,23,Barley Flour,,,37,
955,5,Bread Flour,,,,
956,5,Brown Rice Flour,,,17,
957,5,Buckwheat Flour,,,80,
958,5,Cassava Flour,,,91,
959,5,Chickpea Flour (Gram or Besan),,,13,
960,5,Coconut Flour,,,121,
961,5,Corn Flour,,,18,
962,5,Einkorn Flour,,,,
963,5,Emmer Flour,,,,
964,5,Farro Flour,,,,
965,5,Hazelnut Flour,,,88,
966,5,Kamut Flour,,,,
967,5,Mesquite Flour,,,,
968,5,Millet Flour,,,,
969,23,Oat Flour,,,38,
970,5,Potato Flour,,,21,
971,5,Quinoa Flour,,,,
972,5,Rye Flour,,,,
973,23,Sorghum Flour,,,36,
974,5,Spelt Flour,,,,
975,21,Sweet Potato Flour,,,22,
976,5,Tapioca Flour,,,,
977,5,Teff Flour,,,,
978,5,White Rice Flour,,,17,
979,5,Whole Wheat Flour,,,,
980,5,Yellow Corn Flour,,,18,
981,6,White,,,17,951
982,6,Brown,,,17,952
983,6,Basmati,,,17,953
984,6,Jasmine,,,17,954
985,6,Arborio,,,17,955
986,6,Wild,,,17,956
987,6,Black (Forbidden),,,17,957
988,6,Red,,,17,958
989,6,Yellow,,,17,959
990,6,Sticky (Glutinous),,,17,960
991,6,Parboiled,,,17,961
992,6,Sushi,,,17,962
993,6,Carnaroli,,,17,963
994,6,Calrose,,,17,964
995,6,Wehani,,,17,965
996,6,Volcano,,,17,966
997,6,Texmati,,,17,967
998,6,Camargue Red,,,17,968
999,6,Bhutanese Red,,,17,969
1000,6,Koshihikari,,,17,970
1001,6,Vialone Nano,,,17,971
1002,6,Baldo,,,17,972
1003,6,Roma,,,17,973
1004,6,Originario,,,17,974
1005,6,Ribe,,,17,975
1006,6,Cascina Belvedere,,,17,976
1007,6,Thaibonnet,,,17,
1008,6,Carnise,,,17,
1009,6,Lario,,,17,
